"";"element_id";"sentence_id";"word_count";"sentiment"
"1";1;1;24;0
"2";2;1;19;0,0917662935482247
"3";2;2;8;0,176776695296637
"4";3;1;29;-0,00928476690885259
"5";4;1;25;0
"6";5;1;16;0,225
"7";6;1;21;-0,0218217890235992
"8";7;1;57;0
"9";7;2;27;0
"10";8;1;30;0
"11";9;1;14;0
"12";10;1;24;0,0816496580927726
"13";11;1;11;0
"14";12;1;NA;0
"15";12;2;3;-0,577350269189626
"16";13;1;3;0
"17";13;2;10;0,569209978830308
"18";13;3;4;0
"19";14;1;5;0
"20";15;1;16;0,425
"21";15;2;7;0
"22";16;1;163;0
"23";17;1;3;0
"24";17;2;1;0
"25";17;3;1;0
"26";17;4;8;0
"27";18;1;15;0,0852056336165632
"28";18;2;8;0
"29";19;1;5;0
"30";19;2;14;0
"31";20;1;20;0,257147817412476
"32";21;1;3;0,433012701892219
"33";21;2;1;0
"34";22;1;1;0
"35";22;2;4;0
"36";22;3;1;0
"37";23;1;16;0,225
"38";24;1;14;0,33407655239053
"39";24;2;3;0
"40";25;1;7;0
"41";26;1;4;0
"42";26;2;3;0
"43";27;1;9;0
"44";27;2;16;0,0625
"45";28;1;63;0
"46";29;1;3;-0,288675134594813
"47";29;2;3;-0,288675134594813
"48";29;3;9;0
"49";30;1;23;0,625543242171224
"50";31;1;16;0,2
"51";31;2;7;0
"52";32;1;13;-0,277350098112615
"53";32;2;4;-0,25
"54";32;3;1;0
"55";33;1;59;0
"56";34;1;30;0
"57";35;1;11;0,120604537831105
"58";35;2;1;0
"59";36;1;3;0
"60";36;2;5;0
"61";37;1;6;0
"62";38;1;8;-0,318198051533946
"63";38;2;1;0
"64";39;1;14;-0,294187812035101
"65";39;2;8;0
"66";40;1;17;0
"67";41;1;7;0
"68";42;1;18;0,188561808316413
"69";43;1;6;0
"70";43;2;5;0
"71";44;1;134;0
"72";45;1;14;0
"73";46;1;13;-0,0520031433961152
"74";46;2;14;0
"75";47;1;10;0
"76";48;1;9;0
"77";48;2;6;0
"78";48;3;1;0
"79";49;1;8;-0,0353553390593274
"80";49;2;9;0
"81";49;3;1;-0,5
"82";49;4;7;0
"83";50;1;24;0
"84";51;1;14;0,293987366103667
"85";51;2;6;0,204124145231932
"86";52;1;9;-0,0833333333333333
"87";52;2;6;0
"88";53;1;15;0
"89";54;1;20;0,122983738762488
"90";55;1;9;0
"91";56;1;20;0
"92";57;1;44;0
"93";58;1;7;0
"94";58;2;6;0
"95";59;1;5;0
"96";60;1;9;0,166666666666667
"97";60;2;16;0
"98";61;1;6;0
"99";62;1;5;0
"100";62;2;28;0
"101";62;3;2;0
"102";63;1;54;0
"103";64;1;15;0
"104";65;1;18;-0,117851130197758
"105";66;1;39;0,0400320384512718
"106";67;1;18;0
"107";68;1;13;0
"108";68;2;5;0
"109";69;1;30;0
"110";70;1;7;0,566946709513841
"111";70;2;15;0,206559111797729
"112";71;1;12;0
"113";71;2;11;0
"114";72;1;13;0
"115";73;1;14;0,0133630620956212
"116";73;2;4;0
"117";74;1;15;0
"118";75;1;20;-0,0894427190999916
"119";76;1;7;0
"120";76;2;17;0
"121";77;1;79;0
"122";78;1;10;-0,0316227766016838
"123";79;1;39;0
"124";79;2;25;0
"125";80;1;1;0
"126";80;2;5;0
"127";80;3;23;-0,0208514414057075
"128";81;1;4;0
"129";81;2;6;0
"130";82;1;13;0,346687622640768
"131";82;2;10;0,158113883008419
"132";83;1;9;0
"133";83;2;6;0
"134";84;1;6;0
"135";84;2;5;0
"136";85;1;15;0,129099444873581
"137";86;1;85;0
"138";87;1;10;-0,0790569415042095
"139";87;2;2;0
"140";88;1;26;0,176504521624366
"141";89;1;13;-0,166410058867569
"142";90;1;1;0
"143";90;2;3;0
"144";90;3;3;0
"145";90;4;7;0
"146";90;5;7;0
"147";91;1;13;0,360555127546399
"148";91;2;20;-0,0559016994374947
"149";92;1;11;0,0150755672288882
"150";92;2;8;0
"151";92;3;1;0
"152";93;1;33;0
"153";94;1;8;0
"154";94;2;134;0
"155";95;1;12;0
"156";96;1;9;0,333333333333333
"157";96;2;5;0,380131556174964
"158";96;3;8;0
"159";96;4;7;0
"160";97;1;10;0
"161";97;2;43;0
"162";98;1;14;0,574611670111712
"163";98;2;8;0
"164";99;1;10;0
"165";100;1;23;0,271068738274197
"166";101;1;13;0,221880078490092
"167";102;1;3;0,433012701892219
"168";102;2;7;0
"169";103;1;14;0
"170";104;1;4;0
"171";104;2;25;0,15
"172";105;1;23;0,187662972651367
"173";106;1;24;0
"174";107;1;8;0
"175";108;1;13;0
"176";109;1;36;0
"177";109;2;63;0
"178";110;1;1;-1
"179";110;2;11;-0,150755672288882
"180";110;3;16;-0,0625
"181";111;1;12;0,144337567297406
"182";111;2;1;0
"183";112;1;9;0
"184";112;2;15;0,580947501931113
"185";113;1;3;1,29903810567666
"186";113;2;7;0
"187";114;1;9;-0,133333333333333
"188";114;2;1;0
"189";115;1;22;0,106600358177805
"190";116;1;8;-0,265165042944955
"191";116;2;14;0
"192";117;1;16;0,1
"193";118;1;91;0
"194";119;1;17;-0,0606339062590832
"195";119;2;3;0
"196";120;1;47;0
"197";121;1;17;0,2910427500436
"198";122;1;5;0
"199";122;2;16;0,2
"200";123;1;39;0
"201";124;1;9;0,166666666666667
"202";125;1;1;0,8
"203";125;2;6;0
"204";126;1;10;0
"205";127;1;33;0
"206";128;1;5;0
"207";128;2;6;-0,408248290463863
"208";128;3;6;0
"209";129;1;19;0
"210";129;2;41;0
"211";130;1;42;0
"212";130;2;4;-0,05
"213";130;3;1;0
"214";131;1;13;0,0693375245281536
"215";131;2;13;0
"216";132;1;11;-0,0452267016866646
"217";132;2;5;0
"218";132;3;6;0
"219";133;1;8;0
"220";134;1;7;0
"221";134;2;4;-0,5
"222";134;3;10;0,158113883008419
"223";134;4;1;0
"224";135;1;21;0,349148624377588
"225";136;1;89;0
"226";137;1;11;0,180906806746658
"227";138;1;4;0,25
"228";139;1;14;0,10690449676497
"229";139;2;8;-0,265165042944955
"230";140;1;25;0,26
"231";141;1;24;0
"232";141;2;7;0
"233";142;1;6;0,796084166404533
"234";142;2;2;-1,09601551083915
"235";142;3;21;0,174574312188794
"236";143;1;3;0
"237";143;2;6;0
"238";144;1;55;0
"239";145;1;12;0
"240";146;1;10;0
"241";147;1;36;0
"242";147;2;25;0
"243";147;3;48;0
"244";148;1;15;0
"245";149;1;15;-0,232379000772445
"246";150;1;13;-0,180277563773199
"247";151;1;4;0
"248";151;2;1;0
"249";152;1;9;0,266666666666667
"250";152;2;18;0
"251";153;1;9;0
"252";153;2;1;0
"253";154;1;12;0
"254";155;1;6;0
"255";155;2;8;0
"256";156;1;37;0
"257";156;2;5;0
"258";157;1;22;0
"259";158;1;14;0
"260";158;2;8;0
"261";159;1;18;-0,058925565098879
"262";159;2;6;0
"263";160;1;4;-0,1
"264";160;2;6;0
"265";161;1;5;0,357770876399966
"266";162;1;15;0
"267";163;1;12;0,490747728811182
"268";163;2;1;0
"269";164;1;24;0,642991057480584
"270";165;1;5;0,268328157299975
"271";165;2;15;0
"272";166;1;2;0
"273";166;2;8;0
"274";167;1;14;0
"275";168;1;22;0,223860752173391
"276";169;1;59;0
"277";170;1;9;0,166666666666667
"278";171;1;20;0,290688837074973
"279";172;1;4;0
"280";172;2;22;-0,383761289440099
"281";173;1;173;0
"282";174;1;11;-0,180906806746658
"283";174;2;2;-1,27279220613579
"284";174;3;2;0
"285";175;1;21;0
"286";175;2;8;0
"287";176;1;7;0
"288";176;2;NA;0
"289";176;3;5;0
"290";177;1;12;0
"291";177;2;18;0,153206469257085
"292";178;1;18;0
"293";179;1;26;0
"294";180;1;143;0,0836242010007091
"295";181;1;10;0
"296";182;1;12;0,173205080756888
"297";183;1;22;0
"298";184;1;5;0
"299";184;2;10;0
"300";184;3;7;0,0944911182523068
"301";185;1;11;0
"302";185;2;11;0
"303";186;1;12;0,144337567297406
"304";187;1;98;-0,0404061017820884
"305";188;1;89;-0,105999788000636
"306";189;1;22;0,170560573084488
"307";190;1;19;0
"308";191;1;7;0,188982236504614
"309";191;2;16;0
"310";192;1;9;0
"311";193;1;5;0
"312";193;2;4;0
"313";194;1;19;-0,0573539334676404
"314";194;2;3;0
"315";195;1;16;-0,25
"316";195;2;9;0,166666666666667
"317";196;1;14;-0,200445931434318
"318";196;2;1;0
"319";196;3;1;0
"320";197;1;11;0
"321";197;2;5;0
"322";198;1;13;-0,138675049056307
"323";198;2;3;0
"324";199;1;12;0
"325";200;1;15;0,348568501158668
"326";201;1;5;0,268328157299975
"327";201;2;14;-0,467707173346743
"328";202;1;24;-0,0204124145231932
"329";203;1;8;0
"330";203;2;7;0
"331";203;3;25;0
"332";203;4;65;0
"333";204;1;76;0
"334";205;1;16;0
"335";206;1;8;0,265165042944955
"336";207;1;23;0
"337";208;1;8;0
"338";208;2;21;0,130930734141595
"339";209;1;17;0,0606339062590832
"340";210;1;29;0
"341";211;1;4;0
"342";211;2;6;-0,408248290463863
"343";211;3;1;0
"344";212;1;13;0,360555127546399
"345";212;2;7;0
"346";213;1;53;0
"347";214;1;18;-0,0235702260395516
"348";214;2;10;0
"349";215;1;15;0,0129099444873581
"350";215;2;11;0
"351";216;1;8;0,919238815542512
"352";216;2;15;0
"353";217;1;8;0,47729707730092
"354";217;2;17;0,18190171877725
"355";218;1;4;-0,5
"356";218;2;12;0,129903810567666
"357";218;3;7;0
"358";219;1;9;0,2
"359";219;2;14;0,133630620956212
"360";220;1;4;0
"361";220;2;6;0
"362";221;1;21;-0,29459415181859
"363";222;1;1;0
"364";222;2;6;0
"365";223;1;26;-0,215727748652002
"366";224;1;7;0,472455591261534
"367";224;2;1;0
"368";225;1;8;0
"369";226;1;17;0
"370";227;1;7;0
"371";228;1;16;0,1
"372";229;1;65;0
"373";230;1;6;0
"374";231;1;53;0
"375";232;1;15;0,206559111797729
"376";232;2;2;0
"377";233;1;25;-0,17
"378";234;1;2;0,565685424949238
"379";234;2;24;0
"380";235;1;9;-0,333333333333333
"381";236;1;31;0
"382";237;1;6;0
"383";238;1;27;-0,0962250448649376
"384";239;1;4;0
"385";239;2;22;0,564981898342368
"386";240;1;109;0
"387";241;1;15;0,103279555898864
"388";242;1;9;0
"389";243;1;25;0
"390";244;1;13;0
"391";245;1;16;0
"392";246;1;46;0
"393";247;1;17;0
"394";248;1;8;-0,353553390593274
"395";249;1;15;0,619677335393187
"396";249;2;10;0
"397";250;1;20;0
"398";251;1;23;0
"399";252;1;11;0
"400";252;2;14;0
"401";253;1;11;0,135680105059994
"402";253;2;2;0
"403";254;1;77;0
"404";255;1;82;0
"405";255;2;32;0
"406";256;1;7;0,102050407712491
"407";256;2;17;0,349433201771097
"408";257;1;33;0
"409";258;1;12;0,519615242270663
"410";258;2;4;0
"411";258;3;10;-0,33203915431768
"412";259;1;26;0
"413";259;2;8;0
"414";260;1;5;-0,111803398874989
"415";260;2;3;0,288675134594813
"416";261;1;6;0
"417";262;1;65;0
"418";262;2;10;0
"419";263;1;7;0
"420";264;1;15;0
"421";265;1;126;0
"422";266;1;12;-0,0721687836487032
"423";266;2;3;-0,577350269189626
"424";267;1;14;-0,414254924964258
"425";267;2;10;0
"426";268;1;56;0
"427";269;1;68;-0,121267812518166
"428";270;1;19;0
"429";271;1;39;0
"430";272;1;10;0,474341649025257
"431";272;2;6;0
"432";272;3;12;-0,21650635094611
"433";273;1;33;0
"434";274;1;24;0
"435";274;2;25;0
"436";274;3;49;0
"437";275;1;5;0
"438";276;1;17;0
"439";277;1;26;0
"440";278;1;13;0,0693375245281536
"441";278;2;3;0
"442";278;3;8;0
"443";279;1;22;0,0703562363973515
"444";280;1;23;0
"445";281;1;10;0,426907484122731
"446";281;2;8;0
"447";282;1;13;0
"448";282;2;8;0,212132034355964
"449";283;1;21;-0,218217890235992
"450";284;1;19;0,183532587096449
"451";285;1;8;0,212132034355964
"452";285;2;17;0,0606339062590832
"453";286;1;6;-0,510310363079829
"454";287;1;14;0
"455";288;1;NA;0
"456";288;2;3;0
"457";288;3;13;0
"458";289;1;13;-0,138675049056307
"459";290;1;9;0
"460";290;2;3;0,433012701892219
"461";291;1;20;0,111803398874989
"462";291;2;7;0
"463";292;1;5;0
"464";292;2;1;0
"465";292;3;23;0
"466";293;1;18;0
"467";293;2;6;0
"468";294;1;11;0
"469";294;2;10;0,316227766016838
"470";295;1;19;0
"471";296;1;19;0,0344123600805843
"472";297;1;3;0
"473";298;1;14;-0,0668153104781061
"474";299;1;21;-0,163663417676994
"475";300;1;40;0
"476";301;1;7;0
"477";301;2;8;0
"478";302;1;15;-0,103279555898864
"479";302;2;5;0
"480";303;1;20;0,145344418537486
"481";304;1;11;-0,316586911806652
"482";304;2;1;-0,4
"483";304;3;6;0
"484";305;1;24;-0,224536559755125
"485";306;1;6;0
"486";307;1;3;-0,23094010767585
"487";307;2;1;0
"488";308;1;7;0
"489";308;2;1;0
"490";309;1;8;0
"491";309;2;17;0,242535625036333
"492";310;1;6;0
"493";310;2;5;0,111803398874989
"494";310;3;9;0
"495";311;1;19;0,0573539334676404
"496";312;1;7;0,491353814911995
"497";312;2;7;0
"498";312;3;9;0
