,adj_close_telefonica,adj_close_vodafone
2012-01-12,52.53609085083008,17.96772003173828
2012-01-13,52.33910369873047,17.36686134338379
2012-01-17,52.94874954223633,17.3991641998291
2012-01-18,53.498565673828125,17.59299087524414
2012-01-19,53.32901382446289,17.56714630126953
2012-01-20,52.40018844604492,17.93541717529297
2012-01-23,53.286617279052734,18.00002670288086
2012-01-24,52.413909912109375,17.870807647705078
2012-01-25,55.68658447265625,17.83204460144043
2012-01-26,55.43349838256836,17.670520782470703
2012-01-27,55.76388168334961,17.53484535217285
2012-01-30,56.47825622558594,17.5736083984375
2012-01-31,56.91086196899414,17.496074676513672
2012-02-01,56.87474060058594,17.496074676513672
2012-02-02,56.74131774902344,17.59299087524414
2012-02-03,57.30984115600586,18.006488800048828
2012-02-06,57.84467315673828,18.245540618896484
2012-02-07,58.45058822631836,18.05171012878418
2012-02-08,59.42926788330078,17.85788917541504
2012-02-09,61.48515701293945,17.941879272460938
2012-02-10,61.516300201416016,17.70282554626465
2012-02-13,62.660804748535156,17.786813735961914
2012-02-14,63.51606750488281,17.728666305541992
2012-02-15,62.046180725097656,17.638216018676758
2012-02-16,62.6121826171875,17.812660217285156
2012-02-17,62.600982666015625,17.954801559448242
2012-02-21,64.18805694580078,17.987106323242188
2012-02-22,63.96238327026367,17.715744018554688
2012-02-23,64.38004302978516,17.689903259277344
2012-02-24,65.1305923461914,17.64467430114746
2012-02-27,65.54824829101562,17.651140213012695
2012-02-28,66.75132751464844,17.786813735961914
2012-02-29,67.6278076171875,17.502534866333008
2012-03-01,67.8808822631836,17.735132217407227
2012-03-02,67.9693832397461,17.560686111450195
2012-03-05,66.4708480834961,17.541305541992188
2012-03-06,66.1092529296875,17.334556579589844
2012-03-07,66.1628646850586,17.347476959228516
2012-03-08,67.57167053222656,17.44439125061035
2012-03-09,67.96814727783203,17.173032760620117
2012-03-12,68.81965637207031,17.30870819091797
2012-03-13,70.82691955566406,17.483152389526367
2012-03-14,73.50489044189453,16.96628761291504
2012-03-15,73.00371551513672,16.985668182373047
2012-03-16,73.00495910644531,17.063199996948242
2012-03-19,74.94112396240234,17.218257904052734
2012-03-20,75.54705047607422,17.676982879638672
2012-03-21,75.11566162109375,17.670520782470703
2012-03-22,74.72171783447266,17.922496795654297
2012-03-23,74.31153869628906,17.864347457885742
2012-03-26,75.67420959472656,18.06463623046875
2012-03-27,76.60926055908203,17.993566513061523
2012-03-28,77.000732421875,17.948339462280273
2012-03-29,76.03327941894531,18.09694480895996
2012-03-30,74.7479019165039,17.877269744873047
2012-04-02,77.12667846679688,18.2907657623291
2012-04-03,78.45939636230469,18.16155433654785
2012-04-04,77.83479309082031,17.79973793029785
2012-04-05,79.00298309326172,17.676982879638672
2012-04-09,79.32090759277344,17.631755828857422
2012-04-10,78.34970092773438,17.412086486816406
2012-04-11,78.0704345703125,17.528383255004883
2012-04-12,77.64279174804688,17.5736083984375
2012-04-13,75.45603942871094,17.412086486816406
2012-04-16,72.32671356201172,17.599449157714844
2012-04-17,76.0133056640625,17.812660217285156
2012-04-18,75.84378051757812,17.670520782470703
2012-04-19,73.23809814453125,17.89665412902832
2012-04-20,71.435302734375,17.890193939208984
2012-04-23,71.27572631835938,17.89665412902832
2012-04-24,69.85197448730469,17.93541717529297
2012-04-25,76.05071258544922,17.948339462280273
2012-04-26,75.76397705078125,18.116321563720703
2012-04-27,75.17799377441406,18.045251846313477
2012-04-30,72.80670166015625,17.974185943603516
2012-05-01,72.5760726928711,18.103403091430664
2012-05-02,73.05607604980469,18.129243850708008
2012-05-03,72.53742980957031,18.116321563720703
2012-05-04,70.47158813476562,17.954801559448242
2012-05-07,70.99896240234375,18.084016799926758
2012-05-08,70.83687591552734,18.06463623046875
2012-05-09,70.96157836914062,17.812660217285156
2012-05-10,71.12862396240234,17.974185943603516
2012-05-11,70.65361022949219,17.83204460144043
2012-05-14,69.59513092041016,17.689903259277344
2012-05-15,68.9655532836914,17.651140213012695
2012-05-16,68.08158111572266,17.302248001098633
2012-05-17,66.09183502197266,16.91459846496582
2012-05-18,66.12422943115234,16.8629093170166
2012-05-21,69.97663116455078,16.985668182373047
2012-05-22,69.4393081665039,17.515460968017578
2012-05-23,71.13359069824219,17.36686134338379
2012-05-24,70.48033142089844,17.509000778198242
2012-05-25,70.10255432128906,17.560686111450195
2012-05-29,71.34681701660156,17.528383255004883
2012-05-30,72.20702362060547,17.28287124633789
2012-05-31,72.0274887084961,17.30870819091797
2012-06-01,69.94049072265625,17.302248001098633
2012-06-04,70.3519058227539,17.32163429260254
2012-06-05,70.16987609863281,17.34101676940918
2012-06-06,71.24581909179688,17.61715316772461
2012-06-07,71.27822875976562,17.61715316772461
2012-06-08,72.35042572021484,17.831830978393555
2012-06-11,71.20964813232422,17.751323699951172
2012-06-12,71.8317642211914,18.274606704711914
2012-06-13,71.33308410644531,18.247774124145508
2012-06-14,71.25454711914062,18.408782958984375
2012-06-15,71.57869720458984,18.475872039794922
2012-06-18,73.03114318847656,18.388656616210938
2012-06-19,73.2343521118164,18.811304092407227
2012-06-20,73.02613830566406,18.77776527404785
2012-06-21,72.02005004882812,18.5362491607666
